Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv
P2P-f979d8yq,1,216.45,216.45,216.45,214.95,1.007,,2025-03-28T16:37:54.000000-0300,2025-03-28T16:37:54.000000-0300,1,1,0,1.0,216.45,
JorgePerozo,1,208.25,208.25,208.25,200.05,1.041,,2025-05-10T14:48:39.000000-0300,2025-05-10T14:48:39.000000-0300,1,1,0,1.0,208.25,
Secure-n-Fast,1,200.0,200.0,200.0,192.67,1.038,,2025-05-09T21:24:22.000000-0300,2025-05-09T21:24:22.000000-0300,1,1,0,1.0,200.0,
P2P-8d106fyd,1,200.0,200.0,200.0,193.05,1.036,,2025-05-18T00:17:01.000000-0300,2025-05-18T00:17:01.000000-0300,1,1,0,1.0,200.0,
P2P-ec17d7ic,1,191.18,191.18,191.18,190.41,1.004,,2025-03-27T19:03:23.000000-0300,2025-03-27T19:03:23.000000-0300,1,1,0,1.0,191.18,
P2P-1c3aebzm,1,150.0,150.0,150.0,145.06,1.034,,2025-03-31T12:38:15.000000-0300,2025-03-31T12:38:15.000000-0300,1,1,0,1.0,150.0,
rmendez78,1,105.68,105.68,105.68,104.95,1.007,,2025-03-26T18:18:56.000000-0300,2025-03-26T18:18:56.000000-0300,1,1,0,1.0,105.68,
Christian,1,105.0,105.0,105.0,101.44,1.035,,2025-05-12T15:43:29.000000-0300,2025-05-12T15:43:29.000000-0300,1,1,0,1.0,105.0,
P2P-06f7efvb,1,103.65,103.65,103.65,100.05,1.036,,2025-05-14T19:09:29.000000-0300,2025-05-14T19:09:29.000000-0300,1,1,0,1.0,103.65,
P2P-c28e3bgg,1,100.0,100.0,100.0,96.33,1.038,,2025-05-09T23:55:42.000000-0300,2025-05-09T23:55:42.000000-0300,1,1,0,1.0,100.0,
P2P-5de988uv,1,100.0,100.0,100.0,95.05,1.052,,2025-05-01T23:28:53.000000-0300,2025-05-01T23:28:53.000000-0300,1,1,0,1.0,100.0,
